element;xmin;ymin;xmax;ymax;ausrichtung;point_xmi_ymi;point_xma_ymi;point_xmi_yma;point_xma_yma
[['58.516600', '719.984842', '76.896901', '727.734775', 'DRAWN']];58.5166;719.984842;76.896901;727.734775;0;[58.5166, 719.984842];[76.896901, 719.984842];[58.5166, 727.734775];[76.896901, 727.734775]
"[['59.355300', '731.955342', '76.058308', '739.705275', ""CHK'D""]]";59.3553;731.955342;76.058308;739.705275;0;[59.3553, 731.955342];[76.058308, 731.955342];[59.3553, 739.705275];[76.058308, 739.705275]
[['44.054200', '748.797500', '55.158362', '769.302500', 'A']];44.0542;748.7975;55.158362;769.3025;1;[44.0542, 748.7975];[55.158362, 748.7975];[44.0542, 769.3025];[55.158362, 769.3025]
"[['57.830258', '743.566068', '77.580534', '751.316001', ""APPV'D""]]";57.830258;743.566068;77.580534;751.316001;0;[57.830258, 743.566068];[77.580534, 743.566068];[57.830258, 751.316001];[77.580534, 751.316001]
[['59.876876', '755.896796', '72.534600', '763.646729', 'MFG']];59.876876;755.896796;72.5346;763.646729;0;[59.876876, 755.896796];[72.5346, 755.896796];[59.876876, 763.646729];[72.5346, 763.646729]
[['214.439001', '766.475710', '241.741674', '774.225643', 'MATERIAL:']];214.439001;766.47571;241.741674;774.225643;0;[214.439001, 766.47571];[241.741674, 766.47571];[214.439001, 774.225643];[241.741674, 774.225643]
[['60.971050', '767.836342', '71.445963', '775.586275', 'Q.A']];60.97105;767.836342;71.445963;775.586275;0;[60.97105, 767.836342];[71.445963, 767.836342];[60.97105, 775.586275];[71.445963, 775.586275]
[['109.274200', '810.342500', '117.586701', '830.847500', '4']];109.2742;810.3425;117.586701;830.8475;1;[109.2742, 810.3425];[117.586701, 810.3425];[109.2742, 830.8475];[117.586701, 830.8475]
[['214.349700', '803.425560', '236.343054', '811.168248', 'WEIGHT:']];214.3497;803.42556;236.343054;811.168248;0;[214.3497, 803.42556];[236.343054, 803.42556];[214.3497, 811.168248];[236.343054, 811.168248]
[['236.834200', '810.342500', '245.146701', '830.847500', '3']];236.8342;810.3425;245.146701;830.8475;1;[236.8342, 810.3425];[245.146701, 810.3425];[236.8342, 830.8475];[245.146701, 830.8475]
[['340.025335', '766.475710', '354.325876', '774.225643', 'DWG'], ['355.863628', '766.475710', '366.333667', '774.225643', 'NO.']];340.025335;766.47571;366.333667;774.225643;0;[340.025335, 766.47571];[366.333667, 766.47571];[340.025335, 774.225643];[366.333667, 774.225643]
[['321.383700', '767.525000', '555.208596', '800.333000', 'Aufspannung_Ecken']];321.3837;767.525;555.208596;800.333;0;[321.3837, 767.525];[555.208596, 767.525];[321.3837, 800.333];[555.208596, 800.333]
[['340.365493', '803.569940', '366.190303', '811.319873', 'SCALE:1:5']];340.365493;803.56994;366.190303;811.319873;0;[340.365493, 803.56994];[366.190303, 803.56994];[340.365493, 811.319873];[366.190303, 811.319873]
[['541.052100', '769.293000', '555.153496', '784.330000', 'A4']];541.0521;769.293;555.153496;784.33;3;[541.0521, 769.293];[555.153496, 769.293];[541.0521, 784.33];[555.153496, 784.33]
[['378.569200', '810.342500', '386.881701', '830.847500', '2']];378.5692;810.3425;386.881701;830.8475;1;[378.5692, 810.3425];[386.881701, 810.3425];[378.5692, 830.8475];[386.881701, 830.8475]
[['466.235292', '803.569940', '480.946168', '811.319873', 'SHEET'], ['482.467225', '803.569940', '485.509340', '811.319873', '1'], ['487.030398', '803.569940', '494.465458', '811.319873', 'OF'], ['495.986515', '803.569940', '499.028630', '811.319873', '1']];466.235292;803.56994;499.02863;811.319873;0;[466.235292, 803.56994];[499.02863, 803.56994];[466.235292, 811.319873];[499.02863, 811.319873]
[['506.129200', '810.342500', '514.441701', '830.847500', '1']];506.1292;810.3425;514.441701;830.8475;1;[506.1292, 810.3425];[514.441701, 810.3425];[506.1292, 830.8475];[514.441701, 830.8475]
[['568.469200', '748.797500', '579.573363', '769.302500', 'A']];568.4692;748.7975;579.573363;769.3025;1;[568.4692, 748.7975];[579.573363, 748.7975];[568.4692, 769.3025];[579.573363, 769.3025]
